pickup_datetime,pickup_longitude,pickup_latitude,pickup_hour,pickup_day,pickup_dayname,pickup_monthname,pickup_groupofday,pickup_timeofday,distance,average_speed,duration_min
2016-01-22 14:13:46,-73.87335968017578,40.77410888671875,14,4,Friday,January,Weekday,Afternoon,7.138687297785641,6.955148652781681,62.0
2016-01-25 21:05:42,-73.78208923339844,40.644649505615234,21,0,Monday,January,Weekday,Evening,22.860887734606283,24.42112636337763,56.0
2016-01-07 18:12:52,-73.7823486328125,40.64480209350586,18,3,Thursday,January,Weekday,Evening,21.644569796811435,30.143308034244164,43.0
2016-01-25 11:07:10,-73.77679443359375,40.64547348022461,11,0,Monday,January,Weekday,Morning,15.616083727320625,16.210467537011027,58.0
2016-01-19 16:01:58,-73.7903594970703,40.64402389526367,16,1,Tuesday,January,Weekday,Afternoon,14.879017733627839,19.267792748582814,46.0
2016-01-13 16:49:09,-73.78174591064453,40.644901275634766,16,2,Wednesday,January,Weekday,Afternoon,19.203314360916277,25.613905779658616,45.0
2016-01-27 10:38:45,-73.7899169921875,40.646629333496094,10,2,Wednesday,January,Weekday,Morning,24.04794862120751,33.45155140508,43.0
2016-01-18 17:01:32,-73.86347198486328,40.769649505615234,17,0,Monday,January,Weekday,Evening,12.405537206454733,20.791403139309608,36.0
2016-01-04 14:56:49,-73.78204345703125,40.64487457275391,14,0,Monday,January,Weekday,Afternoon,21.540535015345323,22.47056680824201,58.0
2016-01-19 19:46:11,-73.87453460693358,40.77410125732422,19,1,Tuesday,January,Weekday,Evening,11.284881914063607,18.104088632187608,37.0
2016-01-17 13:58:55,-73.86339569091797,40.769695281982415,13,6,Sunday,January,Weekend,Afternoon,10.260874933419407,13.422656162903293,46.0
2016-01-29 15:26:07,-73.7828598022461,40.64434814453125,15,4,Friday,January,Weekday,Afternoon,19.869673748985942,25.638288708368957,46.0
2016-01-16 19:56:57,-73.77703094482422,40.6450653076172,19,5,Saturday,January,Weekend,Evening,23.209737274774916,32.43596824114507,43.0
2016-01-12 08:46:01,-73.87095642089844,40.7738037109375,8,1,Tuesday,January,Weekday,Morning,8.78233731884097,11.530420987537378,46.0
2016-01-26 08:22:08,-73.86278533935547,40.76893997192384,8,1,Tuesday,January,Weekday,Morning,10.253968478285332,10.363359495178887,59.0
2016-01-08 10:15:46,-73.78450775146483,40.64861679077149,10,4,Friday,January,Weekday,Morning,21.089901660964895,23.33957761434787,54.0
2016-01-11 23:04:20,-73.7905044555664,40.643985748291016,23,0,Monday,January,Weekday,Late night,19.58635584022847,31.103167633357963,38.0
2016-01-21 17:31:25,-73.86322784423827,40.77005386352539,17,3,Thursday,January,Weekday,Evening,15.502388628579101,23.567820550204715,39.0
2016-01-31 08:58:42,-73.79029846191406,40.64693069458008,8,6,Sunday,January,Weekend,Morning,21.491888108794907,38.74351386663078,33.0
2016-01-26 01:36:12,-73.7795639038086,40.64692306518555,1,1,Tuesday,January,Weekday,Late night,44.74204018717897,47.76730269093841,56.0
2016-01-07 09:29:22,-73.87078094482422,40.77364349365234,9,3,Thursday,January,Weekday,Morning,10.451124676729183,18.308539579671564,34.0
2016-01-26 14:17:58,-73.86347961425781,40.769973754882805,14,1,Tuesday,January,Weekday,Afternoon,10.478507293390136,16.893249554950508,37.0
2016-01-25 10:16:38,-73.7767105102539,40.64534759521485,10,0,Monday,January,Weekday,Morning,19.991015018430122,20.1816191997612,59.0
2016-01-11 13:16:43,-73.78970336914062,40.64667892456056,13,0,Monday,January,Weekday,Afternoon,17.835365202763352,22.27873515959336,48.0
2016-01-13 14:56:13,-73.77680969238281,40.64582824707031,14,2,Wednesday,January,Weekday,Afternoon,21.72721900675506,24.231099264039102,54.0
